TEXAS,4,excellent,1,5SIAD09H1WZ864004
FLORIDA,5,excellent,3,4ECFK20G7KS007834
WASHINGTON,3,good,2,6PEWF67U2GF930411
ARIZONA,7,good,2,8QARE24V2GE917821
WASHINGTON,3,good,2,8BKNF66B1BG913644
FLORIDA,5,good,1,9MNUR71W7UY242915
TEXAS,4,good,1,7WMUL38E4VO193210
TEXAS,4,good,3,9QUUC05Z0HG344092
CALIFORNIA,2,good,1,6OUZN99B0PN049639
CALIFORNIA,2,good,1,3YVHZ45C2UA918311
CALIFORNIA,2,good,2,9DRFW40I1KI886916
TEXAS,4,good,1,0XKQZ52L8BQ409704
ALABAMA,1,good,3,8OWEH81C2MZ649864
NEVADA,10,good,2,3FQQY23L9DT121665
ARIZONA,7,good,1,6SQTR35R2BP409173
NEVADA,10,good,1,9SZTK92S9BC833212
ARIZONA,7,good,3,8XQXB37K1KP746747
ARIZONA,7,good,2,7TAKC00Z2VK072726
COLORADO,6,excellent,1,6QGFN01O0OW397743
MASSACHUSETTS,8,fair,3,3FTFQ57O6ZR069835
COLORADO,6,good,2,7CIIW13A0WG737814
COLORADO,6,good,3,4HOWI01W5YA098216
ARIZONA,7,like new,2,6OYBO52D4AV521691
NEVADA,10,good,1,6LQYW95W4CY401933
MASSACHUSETTS,8,like new,2,0CRGQ52N6TM245979
ARIZONA,7,fair,3,4EFSP98M0KC558111
ARIZONA,7,fair,2,8KYKG94O6KB263310
MASSACHUSETTS,8,salvage,2,8PYSA71O4OI880477
COLORADO,6,good,1,3KXSX35F9MG366294
TEXAS,4,excellent,2,1TSAQ89X7BE896979
ALABAMA,1,excellent,2,3VDCH46F0KT243295
NEVADA,10,good,1,6BEQX51W5EJ925972
MASSACHUSETTS,8,fair,1,8ZFCU36Q2IV045812
COLORADO,6,excellent,3,3MXDU68X6DZ467083
WASHINGTON,3,like new,2,6VWKC97B4VT804943
ALABAMA,1,salvage,3,8AXEM18U0FB811294
CALIFORNIA,2,excellent,2,1GAAG48R7RP771696
WASHINGTON,3,excellent,2,3ORTY88X8JN379128
FLORIDA,5,excellent,1,6BNPM02T6IH445106
COLORADO,6,good,2,6YFQF64N1GT114082
ARIZONA,7,excellent,2,9ECNC48F1CC211942
CALIFORNIA,2,good,1,9DIDM61Y2UU580800
WASHINGTON,3,good,1,7QGDM08P9XP461652
TEXAS,4,excellent,1,2GJUX57A4YG592935
ALABAMA,1,excellent,1,3MHXA45Y7XB937111
TEXAS,4,good,1,7BIBI27Q8RV342139
ARIZONA,7,excellent,3,7BJID24R0FD578073
COLORADO,6,excellent,2,3AXME95L2WN479100
UTAH,9,excellent,3,1YASH01V9NU256909
NEVADA,10,good,2,5QNYS09O5RY187850
CALIFORNIA,2,like new,1,2WKRV01M1IQ610109
WASHINGTON,3,fair,1,3ZELY57U1LD313954
MASSACHUSETTS,8,excellent,2,9TACL37N3VV875198
TEXAS,4,good,2,1LWWX45D8KL828752
COLORADO,6,excellent,2,4SKZO98K1UU371899
ALABAMA,1,good,1,9SULK32N9AQ884488
ARIZONA,7,excellent,3,7EDDP39X0GT796990
ALABAMA,1,good,2,0GBQC79B5YH112972
UTAH,9,good,1,0BDRI43I5KY337928
NEVADA,10,excellent,1,0DRRE90D8XW809416
ARIZONA,7,excellent,1,4MPAX99D9UP444795
NEVADA,10,good,3,1TNFK42O8YC537748
UTAH,9,like new,2,4VNUW14P5HS364941
UTAH,9,excellent,3,7GVEC73C8ZN141759
COLORADO,6,salvage,1,5OFGL39G8ZU789431
TEXAS,4,good,3,1HPQY01F2LQ011561
WASHINGTON,3,fair,2,3TEFW60T2KO978315
COLORADO,6,excellent,2,0HUCA80W8YB077450
ARIZONA,7,excellent,3,2ABDT73C5IF014326
MASSACHUSETTS,8,excellent,1,1DUQO79E9ZU338866
FLORIDA,5,good,2,3LQPY45B7LM646730
ARIZONA,7,excellent,1,9DKWH87V2YT753139
NEVADA,10,like new,2,5QKAI51A0NU766473
MASSACHUSETTS,8,excellent,2,1EPFB78Z3FY559299
ALABAMA,1,excellent,2,2KZTM68K2AM721388
FLORIDA,5,like new,1,3GBFK60U4II581278
ARIZONA,7,excellent,3,4DYSP57S7CU280469
FLORIDA,5,salvage,2,0WXRJ55Z3ER024514
TEXAS,4,good,3,0BFLF72I8DA728325
